date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20May%202021%2014:37:28%20GMT	https://tn24h.com/designed-by-yourself	B:/project/tn24h/tn24h/tn24h.com/designed-by-yourself	(from https://tn24h.com/)
21:37:36	85522/85522	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:29%20GMT	https://tn24h.com/product-category/all-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/index.html	(from https://tn24h.com/)
21:37:36	55538/55538	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:29%20GMT	https://tn24h.com/product-category/all-clocks/alarm-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/alarm-clocks/index.html	(from https://tn24h.com/)
21:37:36	79966/79966	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:29%20GMT	https://tn24h.com/product-category/all-clocks/anniversary-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/anniversary-clocks/index.html	(from https://tn24h.com/)
21:37:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20May%202021%2014:37:29%20GMT	https://tn24h.com/wishlist	B:/project/tn24h/tn24h/tn24h.com/wishlist	(from https://tn24h.com/)
21:37:37	3375/3375	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:46:39%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_home.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_home.png	(from https://tn24h.com/)
21:37:37	59972/59972	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:30%20GMT	https://tn24h.com/product-category/all-clocks/cuckoo-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/cuckoo-clocks/index.html	(from https://tn24h.com/)
21:37:37	3938/3938	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:47:03%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_clock.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_clock.png	(from https://tn24h.com/)
21:37:37	60048/60048	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:30%20GMT	https://tn24h.com/product-category/all-clocks/mantel-shelf-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/mantel-shelf-clocks/index.html	(from https://tn24h.com/)
21:37:37	3987/3987	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:47:38%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_grandfather_clock.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_grandfather_clock.png	(from https://tn24h.com/)
